Offencecategory,Offencetype,Violation,Gender,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Violent Criminal Code Violation,Homicide,"Murder, first degree",Male,1,2,3,1,0,0,1,0,0,1,0
Violent Criminal Code Violation,Homicide,"Murder, second degree",Male,4,3,1,2,0,4,1,1,0,1,0
Violent Criminal Code Violation,Homicide,Manslaughter,Male,1,3,0,0,0,0,0,5,0,1,1
Violent Criminal Code Violation,Total other violent violations causing death,Criminal negligence causing death,Male,0,1,1,0,0,0,0,0,2,0,0
Violent Criminal Code Violation,Attempted murder,Attempted murder,Male,1,3,6,3,1,4,0,6,3,4,0
Violent Criminal Code Violation,Sexual assault,"Sexual assault, level 3, aggravated",Male,0,0,1,1,0,7,0,0,0,1,0
Violent Criminal Code Violation,Sexual assault,"Sexual assault, level 2, weapon or bodily harm",Male,4,3,1,1,3,3,0,0,2,1,0
Violent Criminal Code Violation,Sexual assault,"Sexual assault, level 1",Male,105,119,152,105,104,114,90,102,100,145,139
Violent Criminal Code Violation,Total sexual violations against children,Sexual interference,Male,26,30,39,28,43,39,38,45,53,79,51
Violent Criminal Code Violation,Total sexual violations against children,Invitation to sexual touching,Male,2,3,4,3,7,3,4,2,4,5,4
Violent Criminal Code Violation,Total sexual violations against children,Sexual exploitation,Male,0,0,0,0,0,0,0,1,0,0,0
Violent Criminal Code Violation,Total sexual violations against children,Making sexually explicit material available to children,Male,0,0,0,0,0,0,0,0,0,0,2
Violent Criminal Code Violation,Assault,"Assault, level 3, aggravated",Male,34,31,17,22,17,12,8,18,11,11,9
Violent Criminal Code Violation,Assault,"Assault, level 2, weapon or bodily harm",Male,382,320,305,243,226,186,160,160,155,137,143
Violent Criminal Code Violation,Assault,"Assault, level 1",Male,444,440,401,383,300,279,237,257,226,247,214
Violent Criminal Code Violation,Total assaults against a peace officer,Total assaults against a peace officer,Male,53,51,48,32,32,29,23,26,28,24,25
Violent Criminal Code Violation,Total other Assault,Unlawfully causing bodily harm,Male,1,0,0,0,0,0,0,0,0,0,0
Violent Criminal Code Violation,Total other Assault,Criminal negligence causing bodily harm,Male,0,0,1,0,1,2,1,2,1,0,0
Violent Criminal Code Violation,Total other Assault,Other assaults,Male,8,4,1,2,0,7,1,2,0,0,1
Violent Criminal Code Violation,Total firearms,Discharge firearm with intent,Male,2,1,1,0,0,0,0,0,2,1,1
